Song,Artist,Weeks On Chart,Peak Rank
159,One Last Time,Ariana Grande,20,13
160,Preach,YoungBoy Never Broke Again,2,82
161,Legend,Drake,12,52
162,10 Bands,Drake,13,58
163,Used To,Drake Featuring Lil Wayne,2,84
164,Where You Belong,The Weeknd,0,95
165,"Honey, I'm Good.",Andy Grammer,31,9
166,I Put A Spell On You,Annie Lennox,0,97
167,Keep Your Money,Empire Cast Featuring Jussie Smollett,0,99
168,What Kind Of Man,Florence + The Machine,2,88
169,Wonderland,Taylor Swift,0,51
170,Know Yourself,Drake,20,53
171,No Tellin',Drake,2,81
172,6 God,Drake,0,83
173,Now & Forever,Drake,0,95
174,6 Man,Drake,0,97
175,Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,2,86
176,I Want You To Know,Zedd Featuring Selena Gomez,16,17
177,First Kiss,Kid Rock,0,66
178,You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,4,47
179,All Your Fault,Big Sean Featuring Kanye West,0,80
180,You Are In Love,Taylor Swift,0,83
181,Nobody Love,Tori Kelly,11,60
182,Smoke,A Thousand Horses,20,47
183,Raise 'Em Up,Keith Urban Featuring Eric Church,14,56
184,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,10,82
185,Watch Me,Silento,51,3
186,Paradise,Big Sean,0,99
187,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15,15
188,Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,2,42
189,I Really Like You,Carly Rae Jepsen,20,39
190,New Romantics,Taylor Swift,8,46
191,Don't It,Billy Currington,20,44
192,Adore,Cashmere Cat Featuring Ariana Grande,0,93
193,She Don't Love You,Eric Paslay,12,77
194,Monster,Meek Mill,3,73
195,Where Are U Now,Skrillex & Diplo With Justin Bieber,45,8
196,Believe,Mumford & Sons,15,31
197,Want To Want Me,Jason Derulo,35,5
198,Games,Luke Bryan,5,92
199,Bills,LunchMoney Lewis,6,79
200,Bright,Echosmith,20,40
201,Wild Child,Kenny Chesney With Grace Potter,15,56
202,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,17,55
203,Little Toy Guns,Carrie Underwood,18,47
204,See You Again,Wiz Khalifa Featuring Charlie Puth,52,1
205,King Kunta,Kendrick Lamar,11,58
206,The Blacker The Berry,Kendrick Lamar,0,66
207,Alright,Kendrick Lamar,14,81
208,Fairly Local,twenty one pilots,0,84
209,Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,0,91
210,These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",0,94
211,Sippin' On Fire,Florida Georgia Line,20,40
212,Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",0,99
213,B**** Better Have My Money,Rihanna,23,15
214,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,30,56
215,Trouble,Iggy Azalea Featuring Jennifer Hudson,5,67
216,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",24,8
217,Failure,Breaking Benjamin,0,80
218,Baby Blue,Action Bronson Featuring Chance The Rapper,0,91
219,Love You Like That,Canaan Smith,20,46
220,You Know You Like It,DJ Snake & AlunaGeorge,21,13
221,Like A Wrecking Ball,Eric Church,22,51
222,Get Low,Zedd & Liam Payne,9,61
223,The Matrimony,Wale Featuring Usher,19,70
224,Good Lovin,Ludacris Featuring Miguel,2,91
225,Love Me Like You Mean It,Kelsea Ballerini,18,45
226,Commas,Future,20,55
227,Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",3,70
228,Tear In My Heart,twenty one pilots,8,82
229,Crash And Burn,Thomas Rhett,20,36
230,Goodbye,Who Is Fancy,0,98
231,Baby Be My Love Song,Easton Corbin,16,56
232,Lean On,Major Lazer & DJ Snake Featuring MO,48,4
233,Nasty Freestyle,T-Wayne,20,9
234,Fight Song,Rachel Platten,31,6
235,American Oxygen,Rihanna,4,78
236,Sangria,Blake Shelton,20,38
237,Be Real,Kid Ink Featuring DeJ Loaf,20,43
238,Imagine,Sawyer Fredericks,5,24
239,Renegades,X Ambassadors,35,17
240,House Of The Rising Sun,Kimberly Nichole,0,100
241,Hallelujah,Pentatonix,11,23
242,Nothing Without Love,Nate Ruess,4,77
243,Nasty,Bandit Gang Marco Featuring Dro,9,41
244,Make It Rain,Koryn Hawthorne,0,84
245,Cheerleader,OMI,35,1
246,Flex (Ooh Ooh Ooh),Rich Homie Quan,27,26
247,I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina,9,90
248,Iris,Sawyer Fredericks,0,100
249,Simple Man,Sawyer Fredericks,0,71
250,Infinity,One Direction,2,54
251,Stressed Out,twenty one pilots,52,2
252,Flicka Da Wrist,Chedda Da Connect,4,94
253,Tonight Looks Good On You,Jason Aldean,18,46
254,One Hell Of An Amen,Brantley Gilbert,18,44
255,Crushin' It,Brad Paisley,15,66
256,Pretty Girls,Britney Spears & Iggy Azalea,8,29
257,Coffee,Miguel,3,78
258,I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",8,66
259,Classic Man,Jidenna Featuring Roman GianArthur,21,22
260,The Night Is Still Young,Nicki Minaj,17,31
261,Shine On,Sawyer Fredericks,0,99
262,I'm Comin' Over,Chris Young,23,33
263,This Summer's Gonna Hurt...,Maroon 5,13,23
